WP,Status,Model used,Reviewed by,Commit,Notes,Updated
P0-1,Done,Gemini 3.1 Pro,Claude Opus 5.5,df7a850,"2026-09-23: Re-reviewed fixes: applied timing bug fix, restored changelog",
P0-2,Done,Gemini 3.8 Flash,Claude Opus 5.5,6d5051f,"2026-09-23: Fixed get_sync_metrics is_archived check; 799 passed, 10 pre-existing failed",
P0-3,Done,Gemini 3.8 Flash,Claude Opus 5.5,6b38236,"2026-09-23: make_snapshot (FileExistsError guard) + 1MB stream + prune_outgoing_snapshots, 804 passed / 10 failed",
P0-4,Done,Gemini 3.8 Flash,Claude Opus 5.5,89c9aa3,"2026-09-24: Fixed rollback WAL/SHM restoration on failed DB replace; closed RESTART_PENDING concurrency gap; 18/18 hotfix, 10/10 sync passed",
P0-5,Done,Gemini 3.8 Flash,Claude Opus 5.5,487d6bf,"2026-09-24: Startup password check, 3-try prompt, failure modal, salt guard, 815 passed / 10 failed. Opus 5.5 review follow-ups done (damaged-DB wording, deviations logged). Don't release before P0-6.",
P0-6,Done,Gemini 3.8 Flash,Claude Opus 5.5,832b053,"2026-09-24: First-run New/Join office with on-screen modal approval, snapshot streaming, password verification, 7 new tests passed (837/10)",
P0-7,Done,Claude Sonnet 5,Claude Opus 5.5,89d7cfc,"2026-09-24: HMAC auth as before, plus a rollout-compatibility follow-up: rejection of a pre-P0-7 peer now carries an advisory hint (reason unchanged) and §6/§7 document the simultaneous-upgrade requirement.",
P0-8,Done,Claude Haiku 4.5,Claude Opus 5.5,7250dd4,"2026-09-23: Added raw_db_was_reset tracking, audit log entry, and UI alert when auto-heal occurs. Test passes, no deviations from spec.",
P0-9a,Done,Gemini 3.8 Flash,Claude Opus 5.5,faa61d6,2026-09-24: Installer firewall rules added with pre-emptive delete on upgrade and RunOnceId; test_installer_firewall_rules passed,
P0-9b,Done,Claude Sonnet 5,Claude Opus 5.5,214a7a9,"2026-09-24: Fixed reviewer bug #2 (PowerShell numeric NetworkCategory, verified live on Public hotspot); could not reproduce bug #1 (no enable_network_monitor flag exists in current tree); applied 4 hardening items. Full suite: 839 passed/10 failed (all pre-existing).",
P0-10,Done,Gemini 3.8 Flash,Claude Opus 5.5,66feefe,"2026-09-24: Review fixes: 10s beacon interval (anti-flap), port 1-65535 validation, per-peer exception isolation, listener guard, rate-limited replies",
P0-11,Done,Gemini 3.7 Flash,,60667de,"2026-09-24: docs/operations-sync.md updated for Phase 0, full test suite 859 passed / 10 pre-existing failed",
P1-1,Done,Claude Opus 5.5,Claude Opus 5.5,773eea7,"2026-09-24: New sera_keys.py (DPAPI ctypes, Argon2id+AES-GCM wrap, office.json, key id, store/load/recover DEK) + tests/test_sera_keys.py (24); full suite 883 passed / 10 pre-existing failures",
P1-2,Done,Gemini 3.8 Flash,Claude Opus 5.5,7808f87,"2026-09-24: Start-up key resolution (office mode DEK vs legacy PBKDF2), 889 passed / 10 pre-existing failed",
P1-3,Done,Claude Sonnet 5,,bb80c15,2026-09-24: Parsers try sera_keys office DEK (data dir then code dir) before legacy sera.key/salt. Full suite 891 passed / 10 pre-existing failed.,
P1-4,Done,Claude Opus 5.5,Claude Opus 5.5,c6bcc11,2026-09-24: Review round 2: live-DB check refuses missing/empty file; step-6 rollback crash resumes as rollback (phase rolling_back); 28 tests; suite 936 passed / 10 pre-existing failures,2026-09-24 14:39
P1-5,Done,Gemini 3.8 Flash,Claude Opus 5.5,1960b19,"2026-09-24: Review fixes: zero-salt framing, legacy fetch_snapshot gated, salt backup; 937 passed / 10 failed",2026-09-24 14:46
P1-6,Done,Gemini 3.8 Flash,Claude Opus 5.5,79149ab,"2026-09-24: Review blockers A and B resolved: settings backup page fixed, exact whitespace preserved with lenient fallback, full suite clean",2026-09-24 16:49
P2-1,Done,Claude Sonnet 5,Claude Opus 5.5,292da21,"2026-09-24: Review-fix round 2: fixed race where load_device_identity could rename another writer's in-progress key/passphrase files; load_device_identity now read-only, cleanup moved into ensure_device_identity under the lock. Also split lock acquire-timeout from stale-steal threshold. 986 passed / 10 pre-existing failed / 2 skipped.",2026-09-24 17:07
P2-2,Done,Claude Opus 5.5,Claude Opus 5.5,0820ee8,"2026-09-24: Review fixes: revoke is final + letter/cert immutable in store_record; readers always verify; claim_admin check inside tx, refuses caller tx; 63 tests; suite 1049 passed / 10 pre-existing failed / 2 skipped",2026-09-24 17:54
P2-3,Done,Claude Opus 5.5,Claude Opus 5.5,75e98e0,"2026-09-24: Review fixes: session slots only after member check + pending-handshake caps, recv(wait=), sink/RecursionError/empty-chunk fixes; 32 transport tests; full suite 1081 passed / 10 pre-existing failures",2026-09-24 18:14
P2-4,Done,Claude Opus 5.5,Claude Opus 5.5,d2627e2,"2026-09-24: Review fixes: no second join in the join/close gap (close before freeing slot; close ends any session), stall warning, _install order; 38 pairing tests pass; full suite 1143 passed / 10 pre-existing failures",2026-09-24 18:59
P2-5,Done,Gemini 3.8 Flash,Claude Opus 5.5,31dc65f,"2026-09-24: Review fixes & refinements: listen=False mode, ephemeral unicast reply, sightings capping (500), open_db warning, gossip IP validation; 28 tests pass",2026-09-24 19:16
P2-6,Done,Gemini 3.8 Flash,Claude Opus 5.5,e15c420,"2026-09-24: Snapshot mTLS service, export, verification, atomic joiner install with backups (master.db last); 11 tests passed. Open items for P2-7/P2-8/P3-5 recorded in blueprint §9 P2-6 notes (P2-7 must start the snapshot server).",2026-09-24 21:47
P2-7,In progress,Claude Sonnet 5,,,,2026-09-24 21:49
P2-8,In progress,Claude Opus 5.5,,,,2026-09-24 21:49
P3-0,Done,Gemini 3.8 Flash,Claude Opus 5.5,be84d98,"2026-09-24: Review round 3 fixes: write() routes via SeraDatabase._connect for sealer hooks, dynamic time in (b), (d) conflict row on n0 only, (e) partitioned single batch & vector freeze check, stringified FK translation in digest; 7 harness passed, 6 convergence failed as expected, 1185 passed in full suite",2026-09-24 21:50
P3-1,Done,Claude Sonnet 5,Claude Opus 5.5,882d054,"2026-09-24: Round 2: client_raw_containers reverted to local (whole-row lww would have caused certain data loss via re_resolve_all_tracker_dumps' DELETE+rebuild under P3-3/P3-4 tombstone rules). New pending_creation client_container_notes TableSpec added for staff notes, lww, table itself not yet built (flagged for P3-2). 22 new schema tests + 2 database tests pass; full suite at baseline.",2026-09-24 21:37
P3-2,Not started,,,,,
P3-3,Not started,,,,,
P3-4,Not started,,,,,
P3-5,Not started,,,,,
P3-6,Not started,,,,,
P3-7,Not started,,,,,
P3-8,Not started,,,,,
P3-9,Not started,,,,,
P4-1,Not started,,,,,
P4-2,Not started,,,,,
P4-3a,Not started,,,,,
P4-3b,Not started,,,,,
P4-4,Not started,,,,,
P4-5,Not started,,,,,
